squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,29.0,54.0,38.0,418.0,3420.0,56.0,35.0,3.0,3.0,88.0,5.0,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,1.3,0.79,2.08,1.24,2.02,38.0,38.0,3420.0,48.0,1.26,189.0,143.0,78.3,14.0,14.0,10.0,10.0,26.3,8.0,7.0,1.0,0.0,38.0,0.0,9.0,0.0,58.0,0.27,10.0,0.26,128.0,433.0,29.6,971.0,220.0,29.7,32.7,312.0,46.5,41.4,353.0,23.0,6.5,21.0,0.55,13.3,401.0,144.0,19.0,35.9,10.55,3.79,0.13,0.37,0.12,6.8,6.1,16349.0,19802.0,82.6,321220.0,94865.0,6299.0,7029.0,89.6,7392.0,8306.0,89.0,2428.0,3776.0,64.3,5.1,285.0,1121.0,320.0,70.0,1240.0,17930.0,1872.0,490.0,36.0,3510.0,528.0,478.0,231.0,66.0,75.0,36.0,13732.0,2777.0,3293.0,6362.0,11512.0,608.0,753.0,286.0,63.0,321.0,258.0,512.0,632.0,16.63,436.0,57.0,50.0,36.0,36.0,86.0,2.26,57.0,4.0,4.0,9.0,4.0,8.0,601.0,373.0,325.0,199.0,77.0,202.0,596.0,33.9,394.0,6127.0,1640.0,26.8,2245.0,2662.0,1220.0,614.0,153.0,2.0,461.0,244.0,978.0,14.0,24196.0,2929.0,8623.0,11508.0,5691.0,931.0,22390.0,428.0,711.0,60.2,455.0,34.0,16309.0,86892.0,48706.0,1918.0,501.0,171.0,18851.0,16349.0,86.7,448.0,451.0,1.0,420.0,437.0,74.0,2.0,6.0,0.0,3085.0,499.0,573.0,46.5
Aston Villa,28.0,43.9,38.0,418.0,3420.0,40.0,32.0,1.0,3.0,70.0,1.0,1.05,0.84,1.89,1.03,1.87,40.1,37.7,30.4,1.05,0.8,1.85,0.99,1.79,38.0,38.0,3420.0,67.0,1.76,175.0,113.0,64.6,9.0,8.0,21.0,7.0,18.4,6.0,5.0,1.0,0.0,38.0,1.0,10.0,1.0,59.8,0.32,-6.2,-0.16,279.0,723.0,38.6,850.0,170.0,55.2,44.4,343.0,74.1,55.5,391.0,26.0,6.6,19.0,0.5,13.1,453.0,146.0,17.0,32.2,11.92,3.84,0.09,0.27,0.08,-0.1,1.3,11530.0,15353.0,75.1,242867.0,87449.0,4292.0,4999.0,85.9,4958.0,5923.0,83.7,2084.0,3846.0,54.2,1.6,361.0,891.0,286.0,95.0,1034.0,13360.0,1993.0,558.0,20.0,2717.0,590.0,492.0,200.0,106.0,37.0,13.0,8757.0,2527.0,4069.0,5444.0,7695.0,697.0,788.0,253.0,60.0,379.0,218.0,402.0,761.0,20.03,548.0,80.0,36.0,27.0,54.0,67.0,1.76,45.0,7.0,5.0,4.0,4.0,2.0,606.0,388.0,339.0,194.0,73.0,192.0,613.0,31.3,421.0,5837.0,1595.0,27.3,2133.0,2485.0,1219.0,725.0,213.0,4.0,512.0,254.0,983.0,29.0,19827.0,2772.0,7317.0,8474.0,5328.0,781.0,17902.0,368.0,584.0,63.0,404.0,25.0,11554.0,66138.0,34580.0,1417.0,466.0,128.0,14087.0,11530.0,81.8,409.0,428.0,1.0,451.0,525.0,61.0,2.0,6.0,1.0,3321.0,668.0,753.0,47.0
Bournemouth,27.0,43.8,38.0,418.0,3420.0,38.0,24.0,4.0,4.0,78.0,3.0,1.0,0.63,1.63,0.89,1.53,42.7,39.7,27.4,1.12,0.72,1.84,1.04,1.76,38.0,38.0,3420.0,65.0,1.71,182.0,122.0,67.0,9.0,7.0,22.0,5.0,13.2,6.0,5.0,1.0,0.0,38.0,4.0,5.0,0.0,64.3,0.33,-0.7,-0.02,206.0,668.0,30.8,859.0,189.0,53.1,44.5,297.0,71.4,58.5,328.0,20.0,6.1,17.0,0.45,14.2,384.0,116.0,21.0,30.2,10.11,3.05,0.09,0.29,0.1,-4.7,-5.7,11943.0,15973.0,74.8,234473.0,86377.0,4779.0,5647.0,84.6,5158.0,6227.0,82.8,1773.0,3382.0,52.4,-3.4,267.0,900.0,258.0,53.0,1069.0,14132.0,1841.0,456.0,47.0,3017.0,355.0,398.0,194.0,92.0,55.0,16.0,9058.0,2918.0,3997.0,4711.0,8799.0,888.0,791.0,253.0,54.0,363.0,241.0,496.0,567.0,14.92,393.0,66.0,32.0,29.0,40.0,57.0,1.5,32.0,4.0,5.0,9.0,7.0,0.0,559.0,349.0,279.0,220.0,60.0,184.0,582.0,31.6,398.0,6790.0,1780.0,26.2,2224.0,2967.0,1599.0,703.0,176.0,3.0,527.0,288.0,1135.0,14.0,20686.0,2739.0,7781.0,8690.0,5386.0,832.0,18878.0,360.0,646.0,55.7,395.0,28.0,12186.0,64010.0,33067.0,1220.0,369.0,124.0,14685.0,11943.0,81.3,521.0,439.0,2.0,369.0,386.0,68.0,2.0,5.0,0.0,3658.0,747.0,807.0,48.1
Brighton,25.0,52.2,38.0,418.0,3420.0,35.0,24.0,1.0,2.0,59.0,2.0,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,1.08,0.7,1.78,1.04,1.74,38.0,38.0,3420.0,54.0,1.42,164.0,114.0,68.3,9.0,14.0,15.0,9.0,23.7,2.0,2.0,0.0,0.0,38.0,0.0,8.0,3.0,54.5,0.32,3.5,0.09,272.0,527.0,51.6,1188.0,232.0,33.8,33.8,274.0,45.6,38.7,314.0,24.0,7.6,19.0,0.5,13.9,456.0,137.0,11.0,30.0,12.0,3.61,0.07,0.25,0.09,-6.2,-5.7,15696.0,19549.0,80.3,317859.0,103840.0,5976.0,6845.0,87.3,7011.0,8038.0,87.2,2509.0,4013.0,62.5,-2.5,327.0,1091.0,310.0,85.0,1301.0,17758.0,1791.0,397.0,29.0,3508.0,644.0,492.0,178.0,65.0,66.0,31.0,12239.0,3308.0,4002.0,3985.0,13135.0,792.0,849.0,339.0,66.0,372.0,308.0,507.0,702.0,18.47,510.0,69.0,42.0,35.0,32.0,58.0,1.53,37.0,8.0,5.0,2.0,5.0,1.0,663.0,409.0,339.0,237.0,87.0,214.0,644.0,33.2,430.0,5794.0,1743.0,30.1,2018.0,2419.0,1357.0,631.0,162.0,5.0,469.0,299.0,934.0,16.0,24066.0,2881.0,8807.0,10577.0,6186.0,879.0,22325.0,361.0,599.0,60.3,380.0,21.0,15610.0,82502.0,42607.0,1619.0,507.0,141.0,18478.0,15696.0,84.9,474.0,512.0,1.0,385.0,323.0,71.0,2.0,2.0,2.0,3557.0,659.0,563.0,53.9
Burnley,22.0,41.4,38.0,418.0,3420.0,41.0,30.0,3.0,3.0,67.0,0.0,1.08,0.79,1.87,1.0,1.79,43.9,41.6,27.2,1.15,0.72,1.87,1.09,1.81,38.0,38.0,3420.0,50.0,1.32,159.0,112.0,71.1,15.0,9.0,14.0,15.0,39.5,5.0,4.0,1.0,0.0,38.0,0.0,8.0,1.0,47.2,0.27,-1.8,-0.05,285.0,916.0,31.1,875.0,168.0,73.0,54.4,305.0,90.8,69.9,373.0,53.0,14.2,35.0,0.92,16.5,384.0,124.0,17.0,32.3,10.11,3.26,0.1,0.31,0.11,-2.9,-3.6,9925.0,14227.0,69.8,203008.0,78549.0,4182.0,4902.0,85.3,3740.0,4775.0,78.3,1773.0,3907.0,45.4,2.8,263.0,778.0,208.0,78.0,814.0,12383.0,1844.0,421.0,28.0,2763.0,476.0,410.0,170.0,151.0,5.0,4.0,6869.0,2503.0,4855.0,4411.0,7168.0,847.0,861.0,255.0,79.0,394.0,179.0,412.0,568.0,14.95,391.0,66.0,26.0,36.0,35.0,64.0,1.68,42.0,8.0,3.0,5.0,2.0,4.0,583.0,340.0,264.0,239.0,80.0,204.0,612.0,33.3,408.0,5802.0,1482.0,25.5,1782.0,2535.0,1485.0,712.0,189.0,3.0,523.0,252.0,1234.0,5.0,18703.0,2366.0,6006.0,8777.0,4828.0,655.0,16885.0,271.0,473.0,57.3,293.0,18.0,9851.0,48492.0,23294.0,907.0,316.0,61.0,12820.0,9925.0,77.4,406.0,355.0,0.0,412.0,371.0,88.0,1.0,5.0,1.0,3575.0,928.0,881.0,51.3
Chelsea,27.0,60.7,38.0,418.0,3420.0,69.0,46.0,7.0,7.0,60.0,0.0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.2,1.75,1.22,2.97,1.62,2.84,38.0,38.0,3420.0,54.0,1.42,115.0,65.0,54.8,20.0,6.0,12.0,9.0,23.7,2.0,2.0,0.0,0.0,38.0,2.0,11.0,3.0,41.4,0.35,-9.6,-0.25,174.0,407.0,42.8,1024.0,160.0,30.5,32.3,227.0,41.9,38.8,258.0,18.0,7.0,23.0,0.61,15.4,619.0,210.0,27.0,33.9,16.29,5.53,0.1,0.3,0.1,2.4,0.3,20665.0,24532.0,84.2,404119.0,114240.0,8080.0,9028.0,89.5,9196.0,10285.0,89.4,3033.0,4405.0,68.9,-0.2,453.0,1482.0,429.0,105.0,1520.0,22698.0,1834.0,399.0,41.0,4316.0,740.0,567.0,248.0,85.0,87.0,22.0,17110.0,3396.0,4026.0,4351.0,17936.0,723.0,868.0,255.0,61.0,321.0,262.0,517.0,991.0,26.08,739.0,86.0,53.0,46.0,54.0,110.0,2.89,76.0,6.0,8.0,8.0,10.0,2.0,739.0,449.0,351.0,296.0,92.0,217.0,626.0,34.7,409.0,6197.0,1916.0,30.9,1812.0,2841.0,1544.0,576.0,102.0,2.0,474.0,268.0,930.0,9.0,29171.0,2489.0,8842.0,14256.0,7901.0,1197.0,27383.0,466.0,718.0,64.9,498.0,15.0,20509.0,103002.0,55571.0,2364.0,623.0,244.0,23597.0,20665.0,87.6,475.0,479.0,0.0,386.0,383.0,63.0,6.0,2.0,3.0,3756.0,670.0,667.0,50.1
Crystal Palace,25.0,44.5,38.0,418.0,3420.0,29.0,20.0,3.0,3.0,62.0,2.0,0.76,0.53,1.29,0.68,1.21,34.0,31.9,23.6,0.9,0.62,1.52,0.84,1.46,38.0,38.0,3420.0,50.0,1.32,169.0,120.0,70.4,11.0,10.0,17.0,10.0,26.3,1.0,0.0,0.0,1.0,38.0,1.0,7.0,2.0,55.6,0.34,7.6,0.2,256.0,762.0,33.6,844.0,169.0,59.4,45.2,312.0,83.7,62.5,366.0,33.0,9.0,17.0,0.45,13.1,372.0,116.0,15.0,31.2,9.79,3.05,0.07,0.22,0.09,-5.0,-5.9,12142.0,15940.0,76.2,235605.0,89747.0,5127.0,5936.0,86.4,4899.0,5840.0,83.9,1819.0,3435.0,53.0,-3.6,253.0,861.0,256.0,57.0,1040.0,13980.0,1960.0,509.0,16.0,3107.0,435.0,364.0,177.0,105.0,46.0,11.0,9554.0,2586.0,3800.0,3945.0,9627.0,677.0,873.0,279.0,49.0,337.0,279.0,463.0,530.0,13.95,340.0,64.0,51.0,22.0,41.0,50.0,1.32,33.0,4.0,5.0,2.0,6.0,0.0,733.0,430.0,393.0,264.0,76.0,260.0,678.0,38.3,418.0,6252.0,1698.0,27.2,2430.0,2645.0,1177.0,675.0,153.0,3.0,522.0,277.0,999.0,13.0,20796.0,2496.0,7340.0,9542.0,5126.0,903.0,18860.0,448.0,715.0,62.7,474.0,24.0,12388.0,61778.0,32085.0,1275.0,387.0,167.0,14799.0,12142.0,82.0,509.0,556.0,0.0,424.0,478.0,53.0,2.0,1.0,2.0,3503.0,720.0,726.0,49.8
Everton,24.0,49.2,38.0,418.0,3420.0,42.0,32.0,1.0,1.0,76.0,3.0,1.11,0.84,1.95,1.08,1.92,49.3,48.5,30.9,1.3,0.81,2.11,1.28,2.09,38.0,38.0,3420.0,56.0,1.47,145.0,95.0,63.4,13.0,10.0,15.0,9.0,23.7,4.0,3.0,0.0,1.0,38.0,3.0,6.0,3.0,48.7,0.32,-4.3,-0.11,313.0,784.0,39.9,1100.0,179.0,55.6,45.8,273.0,63.0,53.4,315.0,25.0,7.9,23.0,0.61,14.6,465.0,155.0,20.0,33.3,12.24,4.08,0.09,0.26,0.11,-7.3,-7.5,13239.0,17176.0,77.1,281798.0,100680.0,4698.0,5554.0,84.6,5951.0,6984.0,85.2,2403.0,3983.0,60.3,1.1,316.0,1033.0,297.0,85.0,1259.0,15298.0,1878.0,463.0,42.0,2854.0,608.0,501.0,203.0,92.0,79.0,18.0,10253.0,2893.0,4030.0,4826.0,9869.0,775.0,842.0,266.0,48.0,377.0,260.0,540.0,703.0,18.5,457.0,82.0,46.0,54.0,43.0,63.0,1.66,43.0,4.0,5.0,8.0,2.0,1.0,739.0,423.0,369.0,267.0,103.0,245.0,736.0,33.3,491.0,6067.0,1659.0,27.3,2068.0,2639.0,1360.0,588.0,130.0,1.0,458.0,279.0,1037.0,10.0,21845.0,2703.0,7601.0,9939.0,5579.0,889.0,20006.0,392.0,635.0,61.7,429.0,31.0,13246.0,69374.0,36267.0,1420.0,435.0,134.0,16042.0,13239.0,82.5,491.0,470.0,3.0,472.0,394.0,58.0,0.0,4.0,3.0,3600.0,837.0,820.0,50.5
Leicester City,24.0,57.6,38.0,418.0,3420.0,65.0,48.0,5.0,7.0,43.0,3.0,1.71,1.26,2.97,1.58,2.84,61.6,56.2,44.0,1.62,1.16,2.78,1.48,2.64,38.0,38.0,3420.0,41.0,1.08,126.0,95.0,73.8,18.0,8.0,12.0,13.0,34.2,10.0,8.0,2.0,0.0,38.0,0.0,7.0,2.0,42.2,0.28,3.2,0.08,239.0,488.0,49.0,936.0,151.0,39.9,37.4,242.0,47.5,40.8,293.0,10.0,3.4,27.0,0.71,15.7,533.0,181.0,20.0,34.0,14.03,4.76,0.11,0.33,0.11,3.4,3.8,17329.0,21149.0,81.9,333434.0,103827.0,6970.0,7807.0,89.3,7766.0,8836.0,87.9,2322.0,3761.0,61.7,4.0,398.0,1237.0,323.0,84.0,1336.0,19239.0,1910.0,490.0,63.0,3443.0,566.0,475.0,221.0,55.0,106.0,21.0,14241.0,3153.0,3755.0,4775.0,14115.0,721.0,878.0,254.0,55.0,361.0,291.0,518.0,873.0,22.97,624.0,76.0,64.0,40.0,52.0,110.0,2.89,86.0,4.0,7.0,2.0,7.0,4.0,781.0,478.0,381.0,311.0,89.0,283.0,786.0,36.0,503.0,6392.0,1984.0,31.0,2112.0,2895.0,1385.0,601.0,107.0,2.0,494.0,309.0,1013.0,13.0,25867.0,2350.0,8090.0,12502.0,6789.0,998.0,24031.0,411.0,678.0,60.6,444.0,22.0,16888.0,84083.0,44863.0,1800.0,544.0,203.0,20014.0,17329.0,86.6,468.0,477.0,1.0,418.0,444.0,65.0,6.0,10.0,2.0,3526.0,673.0,620.0,52.0
Liverpool,24.0,63.4,38.0,418.0,3420.0,83.0,69.0,5.0,5.0,38.0,1.0,2.18,1.82,4.0,2.05,3.87,71.5,67.7,51.8,1.88,1.36,3.25,1.78,3.15,38.0,38.0,3418.0,33.0,0.87,107.0,75.0,70.1,32.0,3.0,3.0,15.0,39.5,1.0,1.0,0.0,0.0,38.0,1.0,2.0,1.0,31.6,0.29,-0.4,-0.01,198.0,397.0,49.9,1001.0,181.0,29.7,33.4,238.0,42.0,39.2,288.0,24.0,8.3,44.0,1.16,16.4,585.0,222.0,18.0,37.9,15.39,5.84,0.13,0.35,0.12,11.5,10.3,20887.0,25110.0,83.2,425217.0,125713.0,7701.0,8605.0,89.5,9515.0,10702.0,88.9,3383.0,5042.0,67.1,17.2,436.0,1734.0,501.0,101.0,1816.0,23231.0,1879.0,437.0,92.0,3723.0,882.0,569.0,256.0,60.0,122.0,13.0,16785.0,3604.0,4721.0,5544.0,17096.0,885.0,877.0,270.0,48.0,390.0,303.0,541.0,911.0,23.97,672.0,72.0,73.0,37.0,39.0,136.0,3.58,93.0,10.0,14.0,8.0,9.0,2.0,606.0,375.0,225.0,258.0,123.0,212.0,607.0,34.9,395.0,5638.0,1813.0,32.2,1496.0,2346.0,1796.0,481.0,75.0,2.0,406.0,246.0,863.0,10.0,29379.0,2183.0,7595.0,15110.0,8457.0,1318.0,27525.0,439.0,718.0,61.1,482.0,27.0,20118.0,95488.0,51317.0,2238.0,679.0,208.0,24019.0,20887.0,87.0,477.0,427.0,0.0,331.0,293.0,53.0,4.0,1.0,1.0,3931.0,632.0,563.0,52.9
Manchester City,24.0,66.9,38.0,418.0,3420.0,100.0,69.0,6.0,11.0,64.0,4.0,2.63,1.82,4.45,2.47,4.29,93.0,84.6,66.2,2.45,1.74,4.19,2.23,3.97,38.0,38.0,3418.0,35.0,0.92,107.0,73.0,70.1,26.0,3.0,9.0,17.0,44.7,3.0,3.0,0.0,0.0,38.0,1.0,4.0,1.0,33.7,0.3,-0.3,-0.01,146.0,295.0,49.5,1028.0,174.0,22.5,29.9,167.0,38.3,37.2,207.0,15.0,7.2,39.0,1.03,17.3,730.0,246.0,27.0,33.7,19.21,6.47,0.13,0.38,0.12,7.0,9.4,24266.0,27673.0,87.7,471127.0,125662.0,9543.0,10428.0,91.5,11061.0,12080.0,91.6,3369.0,4392.0,76.7,2.8,558.0,1916.0,598.0,96.0,2005.0,26098.0,1575.0,353.0,106.0,4129.0,807.0,617.0,297.0,101.0,63.0,26.0,21037.0,3349.0,3287.0,10236.0,15451.0,682.0,686.0,289.0,63.0,274.0,347.0,535.0,1229.0,32.34,939.0,63.0,94.0,62.0,54.0,168.0,4.42,116.0,6.0,14.0,12.0,14.0,6.0,567.0,365.0,224.0,230.0,113.0,228.0,638.0,35.7,410.0,5003.0,1584.0,31.7,1187.0,2160.0,1656.0,444.0,74.0,3.0,370.0,227.0,655.0,19.0,31554.0,2222.0,7301.0,16365.0,10037.0,1626.0,30005.0,539.0,813.0,66.3,565.0,23.0,22892.0,117460.0,68628.0,3191.0,828.0,300.0,26741.0,24266.0,90.7,332.0,397.0,2.0,361.0,295.0,67.0,10.0,2.0,1.0,3452.0,514.0,468.0,52.3
Manchester Utd,29.0,56.2,38.0,418.0,3420.0,65.0,43.0,10.0,14.0,73.0,0.0,1.71,1.13,2.84,1.45,2.58,59.4,48.8,37.0,1.56,0.97,2.54,1.28,2.26,38.0,38.0,3420.0,36.0,0.95,125.0,92.0,73.6,18.0,12.0,8.0,13.0,34.2,3.0,3.0,0.0,0.0,38.0,1.0,8.0,1.0,37.1,0.28,2.1,0.05,120.0,311.0,38.6,669.0,148.0,33.8,34.3,265.0,32.1,33.9,285.0,15.0,5.3,11.0,0.29,13.3,528.0,200.0,33.0,37.9,13.89,5.26,0.1,0.28,0.09,5.6,6.2,17542.0,21170.0,82.9,324919.0,97629.0,7733.0,8627.0,89.6,7370.0,8365.0,88.1,2155.0,3392.0,63.5,6.0,401.0,1362.0,353.0,53.0,1500.0,19343.0,1827.0,470.0,43.0,3648.0,614.0,392.0,202.0,72.0,70.0,20.0,15138.0,2857.0,3175.0,5731.0,13433.0,596.0,817.0,249.0,52.0,308.0,337.0,564.0,904.0,23.79,700.0,53.0,56.0,27.0,57.0,101.0,2.66,75.0,4.0,8.0,1.0,11.0,2.0,618.0,359.0,292.0,245.0,81.0,207.0,626.0,33.1,419.0,5860.0,1650.0,28.2,1883.0,2616.0,1361.0,632.0,117.0,0.0,515.0,300.0,880.0,7.0,25675.0,2324.0,7503.0,12600.0,7324.0,985.0,23880.0,475.0,780.0,60.9,506.0,39.0,17480.0,94581.0,54035.0,2260.0,665.0,213.0,20059.0,17542.0,87.5,451.0,478.0,0.0,423.0,428.0,56.0,12.0,3.0,1.0,3501.0,582.0,479.0,54.9
Newcastle Utd,28.0,38.6,38.0,418.0,3420.0,38.0,29.0,0.0,1.0,66.0,3.0,1.0,0.76,1.76,1.0,1.76,33.1,32.3,23.2,0.87,0.61,1.48,0.85,1.46,38.0,38.0,3420.0,58.0,1.53,190.0,134.0,70.5,11.0,11.0,16.0,11.0,28.9,2.0,2.0,0.0,0.0,38.0,2.0,11.0,2.0,66.0,0.34,10.0,0.26,295.0,778.0,37.9,756.0,121.0,63.6,48.4,337.0,88.1,64.4,384.0,20.0,5.2,14.0,0.37,12.3,397.0,127.0,14.0,32.0,10.45,3.34,0.1,0.3,0.08,4.9,5.7,10500.0,14206.0,73.9,217402.0,81724.0,4147.0,4810.0,86.2,4350.0,5309.0,81.9,1804.0,3514.0,51.3,5.8,293.0,762.0,188.0,67.0,754.0,12436.0,1770.0,476.0,24.0,2793.0,563.0,383.0,151.0,61.0,58.0,12.0,8013.0,2145.0,4048.0,4099.0,7994.0,687.0,709.0,199.0,70.0,309.0,228.0,382.0,596.0,15.68,417.0,60.0,45.0,30.0,31.0,61.0,1.61,40.0,6.0,3.0,6.0,3.0,3.0,672.0,393.0,413.0,198.0,61.0,225.0,622.0,36.2,397.0,5994.0,1524.0,25.4,2591.0,2401.0,1002.0,638.0,173.0,5.0,465.0,293.0,1133.0,11.0,18718.0,2508.0,7645.0,7774.0,4326.0,593.0,16998.0,427.0,656.0,65.1,457.0,18.0,10760.0,54145.0,28128.0,1012.0,324.0,115.0,12986.0,10500.0,80.9,453.0,407.0,0.0,370.0,421.0,75.0,0.0,2.0,2.0,3298.0,721.0,759.0,48.7
Norwich City,30.0,49.3,38.0,418.0,3420.0,25.0,18.0,2.0,2.0,68.0,3.0,0.66,0.47,1.13,0.61,1.08,38.0,36.6,26.1,1.0,0.69,1.69,0.96,1.65,38.0,38.0,3420.0,75.0,1.97,201.0,129.0,64.7,5.0,6.0,27.0,5.0,13.2,7.0,4.0,3.0,0.0,38.0,1.0,13.0,3.0,70.9,0.33,-1.1,-0.03,271.0,765.0,35.4,1261.0,190.0,45.4,39.7,350.0,55.1,44.8,403.0,28.0,6.9,18.0,0.47,14.1,409.0,124.0,16.0,30.3,10.76,3.26,0.06,0.19,0.09,-13.0,-13.6,14610.0,18286.0,79.9,270287.0,88230.0,6655.0,7458.0,89.2,5745.0,6622.0,86.8,1901.0,3446.0,55.2,-8.1,299.0,881.0,224.0,42.0,997.0,16433.0,1853.0,462.0,38.0,3625.0,466.0,259.0,162.0,66.0,78.0,10.0,12107.0,2918.0,3261.0,5432.0,10795.0,649.0,767.0,285.0,44.0,348.0,275.0,448.0,651.0,17.13,467.0,50.0,48.0,37.0,33.0,38.0,1.0,27.0,2.0,3.0,2.0,1.0,3.0,716.0,434.0,419.0,219.0,78.0,253.0,776.0,32.6,523.0,6492.0,1779.0,27.4,2695.0,2609.0,1188.0,713.0,197.0,6.0,516.0,270.0,1039.0,16.0,23022.0,3280.0,9340.0,9988.0,5141.0,731.0,21235.0,451.0,732.0,61.6,483.0,34.0,14491.0,75948.0,40234.0,1526.0,443.0,171.0,17229.0,14610.0,84.8,479.0,466.0,0.0,363.0,430.0,50.0,1.0,7.0,3.0,3327.0,515.0,657.0,43.9
