squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,30.0,39.8,38.0,418.0,3420.0,40.0,31.0,1.0,3.0,105.0,4.0,1.05,0.82,1.87,1.03,1.84,38.8,36.6,26.0,1.02,0.68,1.7,0.96,1.64,38.0,38.0,3420.0,50.0,1.32,177.0,136.0,75.7,15.0,2.0,21.0,12.0,31.6,11.0,7.0,3.0,1.0,38.0,2.0,7.0,2.0,53.8,0.28,5.8,0.15,253.0,596.0,42.4,540.0,71.0,70.2,47.4,232.0,93.5,62.3,418.0,22.0,5.3,9.0,0.24,12.9,393.0,137.0,22.0,34.9,10.34,3.61,0.1,0.28,0.09,1.2,2.4,9346.0,13461.0,69.4,190290.0,78386.0,3814.0,4784.0,79.7,3832.0,5009.0,76.5,1581.0,3252.0,48.6,5.0,266.0,817.0,193.0,72.0,899.0,11966.0,1495.0,412.0,16.0,2750.0,415.0,371.0,130.0,2.0,2.0,0.0,7657.0,1615.0,4189.0,4691.0,6405.0,1191.0,648.0,173.0,90.0,439.0,300.0,420.0,592.0,15.58,409.0,55.0,38.0,22.0,57.0,66.0,1.74,49.0,3.0,3.0,5.0,6.0,0.0,606.0,383.0,335.0,205.0,66.0,188.0,611.0,30.8,423.0,6355.0,1521.0,23.9,2161.0,3024.0,1170.0,605.0,137.0,1.0,468.0,348.0,681.0,10.0,17627.0,2150.0,6162.0,8241.0,4235.0,639.0,16164.0,358.0,552.0,64.9,395.0,23.0,10639.0,52772.0,26536.0,1004.0,322.0,110.0,11683.0,9346.0,80.0,448.0,370.0,4.0,614.0,531.0,111.0,3.0,10.0,2.0,3509.0,376.0,381.0,49.7
Athletic Club,26.0,49.7,38.0,418.0,3420.0,39.0,25.0,6.0,8.0,93.0,0.0,1.03,0.66,1.68,0.87,1.53,45.6,39.8,30.0,1.2,0.79,1.99,1.05,1.84,38.0,38.0,3420.0,49.0,1.29,161.0,118.0,71.4,10.0,13.0,15.0,11.0,28.9,6.0,3.0,3.0,0.0,38.0,3.0,5.0,3.0,51.1,0.29,5.1,0.13,362.0,760.0,47.6,927.0,88.0,65.3,47.3,170.0,91.2,64.5,357.0,30.0,8.4,19.0,0.5,15.2,434.0,150.0,10.0,34.6,11.42,3.95,0.08,0.22,0.09,-6.6,-6.8,12708.0,17079.0,74.4,271525.0,97224.0,4455.0,5570.0,80.0,5756.0,7019.0,82.0,2390.0,4088.0,58.5,-5.0,315.0,1188.0,313.0,105.0,1247.0,15649.0,1430.0,397.0,12.0,3110.0,548.0,538.0,182.0,0.0,0.0,0.0,10595.0,1985.0,4499.0,4347.0,10240.0,1332.0,610.0,157.0,93.0,425.0,283.0,510.0,674.0,17.74,451.0,92.0,30.0,40.0,51.0,68.0,1.79,48.0,5.0,1.0,6.0,7.0,1.0,625.0,373.0,306.0,251.0,68.0,195.0,656.0,29.7,461.0,6864.0,1827.0,26.6,1969.0,3260.0,1635.0,595.0,109.0,3.0,486.0,354.0,508.0,10.0,21099.0,2132.0,6403.0,10287.0,5825.0,855.0,19702.0,324.0,548.0,59.1,361.0,26.0,13660.0,74758.0,39197.0,1551.0,507.0,108.0,15390.0,12708.0,82.6,456.0,334.0,0.0,538.0,495.0,107.0,7.0,6.0,3.0,3627.0,440.0,337.0,56.6
Atlético Madrid,26.0,47.3,38.0,418.0,3420.0,57.0,41.0,4.0,5.0,93.0,5.0,1.5,1.08,2.58,1.39,2.47,47.8,44.2,32.6,1.26,0.86,2.12,1.16,2.02,38.0,38.0,3420.0,22.0,0.58,129.0,109.0,83.7,23.0,10.0,5.0,23.0,60.5,4.0,1.0,3.0,0.0,38.0,1.0,2.0,1.0,33.0,0.23,12.0,0.32,153.0,457.0,33.5,506.0,71.0,60.1,45.1,185.0,82.7,58.2,390.0,30.0,7.7,10.0,0.26,14.0,416.0,152.0,12.0,36.5,10.95,4.0,0.13,0.35,0.11,9.2,8.8,14162.0,18218.0,77.7,263545.0,94131.0,6334.0,7435.0,85.2,5786.0,6937.0,83.4,1839.0,3341.0,55.0,8.4,298.0,1153.0,271.0,43.0,1296.0,16868.0,1350.0,364.0,15.0,3182.0,398.0,350.0,157.0,0.0,0.0,0.0,12383.0,1989.0,3846.0,5093.0,11033.0,999.0,587.0,176.0,98.0,339.0,347.0,485.0,636.0,16.74,437.0,71.0,38.0,27.0,51.0,98.0,2.58,72.0,2.0,9.0,6.0,7.0,2.0,714.0,463.0,375.0,263.0,76.0,205.0,668.0,30.7,463.0,6726.0,1852.0,27.5,2290.0,3035.0,1401.0,678.0,127.0,1.0,551.0,358.0,585.0,13.0,22528.0,2086.0,7072.0,10958.0,5949.0,845.0,21203.0,365.0,594.0,61.4,407.0,25.0,15484.0,76000.0,38921.0,1576.0,491.0,150.0,16640.0,14162.0,85.1,454.0,388.0,3.0,541.0,483.0,110.0,3.0,4.0,0.0,3591.0,340.0,288.0,54.1
Barcelona,25.0,63.1,38.0,418.0,3420.0,96.0,74.0,3.0,5.0,67.0,2.0,2.53,1.95,4.47,2.45,4.39,78.3,75.2,58.6,2.06,1.54,3.6,1.98,3.52,38.0,38.0,3420.0,29.0,0.76,136.0,109.0,80.1,28.0,9.0,1.0,19.0,50.0,2.0,2.0,0.0,0.0,38.0,0.0,1.0,0.0,37.0,0.26,8.0,0.21,149.0,317.0,47.0,935.0,130.0,27.2,30.1,107.0,58.9,47.3,297.0,28.0,9.4,22.0,0.58,15.9,581.0,264.0,59.0,45.4,15.29,6.95,0.16,0.35,0.13,17.7,17.8,21306.0,24812.0,85.9,389761.0,119736.0,9338.0,10408.0,89.7,9224.0,10257.0,89.9,2512.0,3543.0,70.9,15.4,418.0,1723.0,513.0,49.0,1844.0,23560.0,1252.0,351.0,44.0,4331.0,574.0,383.0,199.0,7.0,13.0,4.0,19986.0,2103.0,2723.0,8121.0,15032.0,723.0,532.0,204.0,112.0,270.0,442.0,559.0,974.0,25.63,705.0,48.0,74.0,53.0,74.0,172.0,4.53,123.0,6.0,13.0,16.0,11.0,3.0,499.0,345.0,233.0,194.0,72.0,158.0,509.0,31.0,351.0,6408.0,1786.0,27.9,1800.0,2956.0,1652.0,530.0,105.0,4.0,425.0,353.0,370.0,12.0,28834.0,2273.0,7716.0,14165.0,9030.0,1389.0,27625.0,617.0,953.0,64.7,673.0,35.0,22156.0,109504.0,58996.0,2436.0,826.0,252.0,23805.0,21306.0,89.5,444.0,401.0,0.0,390.0,528.0,136.0,4.0,2.0,0.0,3158.0,242.0,179.0,57.5
Betis,29.0,57.7,38.0,418.0,3420.0,56.0,43.0,2.0,3.0,90.0,3.0,1.47,1.13,2.61,1.42,2.55,41.1,39.1,31.3,1.08,0.82,1.91,1.03,1.85,38.0,38.0,3420.0,61.0,1.61,153.0,99.0,62.1,18.0,6.0,14.0,13.0,34.2,4.0,3.0,1.0,0.0,38.0,0.0,8.0,4.0,47.6,0.29,-9.4,-0.25,206.0,544.0,37.9,1109.0,119.0,39.7,35.9,160.0,65.0,47.7,367.0,34.0,9.3,21.0,0.55,14.4,412.0,161.0,21.0,39.1,10.84,4.24,0.13,0.34,0.1,14.9,14.9,17395.0,21045.0,82.7,339463.0,103592.0,6739.0,7725.0,87.2,8207.0,9279.0,88.4,2330.0,3674.0,63.4,11.7,310.0,1235.0,249.0,59.0,1246.0,19826.0,1219.0,374.0,25.0,3127.0,589.0,375.0,123.0,0.0,0.0,0.0,15695.0,1629.0,3721.0,8281.0,10908.0,943.0,480.0,200.0,53.0,430.0,325.0,411.0,673.0,17.71,508.0,38.0,46.0,23.0,37.0,97.0,2.55,73.0,4.0,3.0,8.0,6.0,3.0,500.0,321.0,263.0,181.0,56.0,136.0,490.0,27.8,354.0,5764.0,1535.0,26.6,1906.0,2698.0,1160.0,562.0,102.0,5.0,460.0,336.0,596.0,11.0,24882.0,2519.0,8155.0,12664.0,5697.0,694.0,23696.0,392.0,580.0,67.6,417.0,24.0,18494.0,93912.0,48719.0,1843.0,573.0,153.0,19397.0,17395.0,89.7,459.0,367.0,1.0,474.0,498.0,63.0,1.0,1.0,4.0,3173.0,258.0,304.0,45.9
Celta Vigo,23.0,56.1,38.0,418.0,3420.0,57.0,45.0,2.0,3.0,85.0,1.0,1.5,1.18,2.68,1.45,2.63,52.0,49.7,36.0,1.37,0.95,2.32,1.31,2.26,38.0,38.0,3416.0,60.0,1.58,167.0,112.0,66.5,13.0,10.0,15.0,7.0,18.4,5.0,4.0,0.0,1.0,38.0,0.0,8.0,1.0,52.0,0.3,-7.0,-0.18,208.0,612.0,34.0,1037.0,89.0,46.0,39.7,165.0,81.8,60.2,374.0,43.0,11.5,19.0,0.5,14.7,445.0,157.0,30.0,35.3,11.71,4.13,0.12,0.35,0.12,5.0,5.3,16520.0,20569.0,80.3,330795.0,106276.0,5998.0,7054.0,85.0,7939.0,9074.0,87.5,2436.0,4036.0,60.4,9.0,316.0,1226.0,320.0,90.0,1379.0,19301.0,1268.0,365.0,8.0,3645.0,549.0,465.0,142.0,1.0,2.0,0.0,14286.0,2113.0,4170.0,5317.0,13031.0,1215.0,532.0,175.0,81.0,435.0,315.0,411.0,742.0,19.53,550.0,48.0,36.0,39.0,51.0,106.0,2.79,71.0,6.0,7.0,10.0,9.0,3.0,488.0,306.0,278.0,166.0,44.0,148.0,463.0,32.0,315.0,5639.0,1614.0,28.6,1915.0,2496.0,1228.0,535.0,107.0,1.0,428.0,306.0,487.0,9.0,24396.0,2437.0,8186.0,12186.0,5669.0,822.0,23170.0,351.0,572.0,61.4,388.0,15.0,17652.0,92386.0,46421.0,1699.0,558.0,152.0,18845.0,16520.0,87.7,441.0,365.0,0.0,439.0,548.0,97.0,2.0,3.0,1.0,3569.0,306.0,289.0,51.4
Eibar,27.0,52.4,38.0,418.0,3420.0,43.0,31.0,2.0,3.0,84.0,3.0,1.13,0.82,1.95,1.08,1.89,39.9,37.6,25.4,1.05,0.67,1.72,0.99,1.66,38.0,38.0,3420.0,50.0,1.32,130.0,88.0,64.6,14.0,9.0,15.0,11.0,28.9,4.0,4.0,0.0,0.0,38.0,2.0,4.0,4.0,43.7,0.32,-2.3,-0.06,284.0,772.0,36.8,830.0,75.0,75.4,56.2,150.0,97.3,77.0,277.0,39.0,14.1,62.0,1.63,17.8,488.0,140.0,21.0,28.7,12.84,3.68,0.08,0.29,0.08,3.1,3.4,12513.0,17675.0,70.8,277032.0,96657.0,4323.0,5538.0,78.1,5399.0,6846.0,78.9,2667.0,4859.0,54.9,5.6,335.0,1260.0,281.0,125.0,1211.0,15964.0,1711.0,411.0,5.0,2908.0,776.0,622.0,222.0,0.0,0.0,0.0,9660.0,2352.0,5663.0,3986.0,10584.0,1608.0,857.0,228.0,68.0,666.0,329.0,530.0,717.0,18.87,485.0,94.0,28.0,34.0,58.0,71.0,1.87,47.0,8.0,1.0,9.0,4.0,2.0,490.0,330.0,214.0,208.0,68.0,155.0,555.0,27.9,400.0,5993.0,1884.0,31.4,1365.0,2727.0,1901.0,526.0,55.0,0.0,471.0,386.0,394.0,9.0,21589.0,1645.0,5302.0,10733.0,6844.0,831.0,19889.0,341.0,554.0,61.6,377.0,12.0,13679.0,71650.0,34347.0,1479.0,518.0,112.0,15436.0,12513.0,81.1,528.0,375.0,2.0,507.0,449.0,83.0,3.0,4.0,3.0,4408.0,418.0,460.0,47.6
Espanyol,25.0,46.8,38.0,418.0,3420.0,34.0,24.0,2.0,3.0,87.0,1.0,0.89,0.63,1.53,0.84,1.47,42.9,40.5,28.5,1.13,0.75,1.88,1.07,1.82,38.0,38.0,3420.0,42.0,1.11,166.0,130.0,77.1,12.0,13.0,13.0,12.0,31.6,7.0,4.0,2.0,1.0,38.0,0.0,5.0,2.0,50.7,0.29,10.7,0.28,194.0,548.0,35.4,619.0,132.0,56.1,43.9,213.0,94.4,64.4,373.0,40.0,10.7,18.0,0.47,14.3,422.0,134.0,16.0,31.8,11.11,3.53,0.08,0.24,0.1,-8.9,-8.5,12349.0,16797.0,73.5,245088.0,86586.0,5006.0,6135.0,81.6,5311.0,6486.0,81.9,1921.0,3763.0,51.0,-4.5,294.0,980.0,238.0,93.0,1055.0,15331.0,1466.0,400.0,11.0,2783.0,483.0,459.0,157.0,3.0,4.0,0.0,10431.0,1941.0,4425.0,5407.0,8973.0,1271.0,633.0,197.0,66.0,444.0,324.0,516.0,630.0,16.58,447.0,58.0,32.0,32.0,39.0,63.0,1.66,42.0,3.0,5.0,3.0,7.0,3.0,573.0,353.0,313.0,201.0,59.0,187.0,637.0,29.4,450.0,6157.0,1580.0,25.7,1928.0,2911.0,1318.0,553.0,121.0,2.0,432.0,346.0,571.0,9.0,20772.0,2110.0,7101.0,10014.0,4864.0,666.0,19340.0,354.0,537.0,65.9,392.0,17.0,13621.0,66139.0,32897.0,1256.0,406.0,108.0,14682.0,12349.0,84.1,444.0,350.0,1.0,530.0,538.0,80.0,3.0,6.0,2.0,3739.0,320.0,351.0,47.7
Getafe,32.0,39.4,38.0,418.0,3420.0,41.0,27.0,5.0,12.0,130.0,5.0,1.08,0.71,1.79,0.95,1.66,46.4,37.1,26.0,1.22,0.68,1.9,0.98,1.66,38.0,38.0,3420.0,33.0,0.87,127.0,96.0,75.6,15.0,10.0,13.0,14.0,36.8,4.0,2.0,1.0,1.0,38.0,0.0,5.0,0.0,35.3,0.26,2.3,0.06,258.0,800.0,32.3,694.0,68.0,76.8,55.8,268.0,99.6,70.1,365.0,52.0,14.2,22.0,0.58,14.6,368.0,125.0,15.0,34.0,9.68,3.29,0.1,0.29,0.1,-5.4,-1.1,8463.0,13094.0,64.6,179015.0,77315.0,3411.0,4490.0,76.0,3254.0,4526.0,71.9,1651.0,3631.0,45.5,1.0,256.0,840.0,278.0,68.0,986.0,11349.0,1745.0,485.0,17.0,2308.0,495.0,379.0,174.0,0.0,0.0,0.0,6438.0,1805.0,4851.0,2419.0,8066.0,1289.0,756.0,146.0,92.0,451.0,304.0,461.0,554.0,14.58,343.0,78.0,38.0,27.0,48.0,64.0,1.68,34.0,8.0,7.0,5.0,8.0,2.0,573.0,390.0,309.0,206.0,58.0,202.0,648.0,31.2,446.0,6210.0,1583.0,25.5,1926.0,3029.0,1255.0,567.0,79.0,0.0,488.0,343.0,560.0,11.0,17018.0,1916.0,5549.0,7551.0,4869.0,685.0,15310.0,310.0,536.0,57.8,338.0,24.0,9975.0,48573.0,23304.0,825.0,302.0,78.0,11074.0,8463.0,76.4,452.0,404.0,4.0,677.0,503.0,109.0,11.0,3.0,0.0,3912.0,341.0,405.0,45.7
Girona,25.0,46.8,38.0,418.0,3420.0,50.0,31.0,6.0,8.0,102.0,0.0,1.32,0.82,2.13,1.16,1.97,48.9,42.8,30.9,1.29,0.81,2.1,1.13,1.94,38.0,38.0,3420.0,59.0,1.55,173.0,121.0,68.2,14.0,9.0,15.0,11.0,28.9,5.0,4.0,0.0,1.0,38.0,3.0,1.0,3.0,49.9,0.28,-6.1,-0.16,233.0,620.0,37.6,663.0,97.0,67.4,48.3,186.0,93.0,66.1,320.0,29.0,9.1,20.0,0.53,14.2,462.0,154.0,24.0,33.3,12.16,4.05,0.1,0.29,0.09,1.1,1.2,11412.0,15587.0,73.2,243544.0,86965.0,4161.0,5151.0,80.8,4927.0,6075.0,81.1,2214.0,4022.0,55.0,0.1,327.0,995.0,249.0,110.0,1050.0,14195.0,1392.0,402.0,4.0,3029.0,730.0,547.0,164.0,0.0,0.0,0.0,9201.0,1772.0,4614.0,5071.0,8046.0,1321.0,568.0,194.0,68.0,439.0,276.0,406.0,701.0,18.45,434.0,99.0,37.0,36.0,79.0,78.0,2.05,42.0,9.0,7.0,7.0,11.0,2.0,498.0,317.0,249.0,195.0,54.0,164.0,555.0,29.5,391.0,6038.0,1547.0,25.6,1731.0,3003.0,1304.0,530.0,96.0,3.0,434.0,340.0,533.0,12.0,19454.0,1938.0,6406.0,9343.0,4912.0,744.0,18068.0,338.0,555.0,60.9,374.0,20.0,12584.0,64236.0,30673.0,1229.0,384.0,97.0,13526.0,11412.0,84.4,431.0,360.0,0.0,625.0,500.0,82.0,6.0,5.0,3.0,3711.0,387.0,364.0,51.5
La Coruña,32.0,46.6,38.0,418.0,3420.0,38.0,30.0,3.0,5.0,99.0,2.0,1.0,0.79,1.79,0.92,1.71,49.2,45.4,34.3,1.3,0.9,2.2,1.2,2.1,38.0,38.0,3415.0,76.0,2.0,179.0,110.0,59.8,6.0,11.0,21.0,6.0,15.8,5.0,4.0,1.0,0.0,38.0,3.0,12.0,3.0,62.1,0.33,-10.9,-0.29,168.0,467.0,36.0,541.0,103.0,55.8,42.9,196.0,84.2,61.5,402.0,36.0,9.0,14.0,0.37,14.4,466.0,141.0,12.0,30.3,12.26,3.71,0.08,0.25,0.1,-11.2,-10.4,12284.0,16487.0,74.5,245888.0,89568.0,4931.0,6008.0,82.1,5316.0,6586.0,80.7,1942.0,3567.0,54.4,-4.3,328.0,1049.0,288.0,90.0,1199.0,15098.0,1389.0,352.0,16.0,2901.0,509.0,570.0,174.0,0.0,0.0,0.0,10543.0,1919.0,4025.0,5556.0,8690.0,1162.0,593.0,173.0,83.0,453.0,283.0,444.0,698.0,18.37,500.0,68.0,42.0,39.0,33.0,60.0,1.58,42.0,6.0,1.0,7.0,4.0,0.0,606.0,377.0,327.0,227.0,52.0,177.0,604.0,29.3,427.0,6643.0,1644.0,24.7,2430.0,2884.0,1329.0,595.0,119.0,1.0,476.0,321.0,638.0,14.0,20411.0,2047.0,6669.0,9527.0,5502.0,804.0,19066.0,368.0,544.0,67.6,392.0,7.0,13443.0,69158.0,35102.0,1408.0,466.0,137.0,14682.0,12284.0,83.7,415.0,376.0,1.0,516.0,443.0,96.0,5.0,5.0,2.0,3521.0,345.0,384.0,47.3
Las Palmas,36.0,55.1,38.0,418.0,3420.0,24.0,15.0,6.0,8.0,88.0,3.0,0.63,0.39,1.03,0.47,0.87,38.0,31.9,23.6,1.0,0.62,1.62,0.84,1.46,38.0,38.0,3420.0,74.0,1.95,213.0,145.0,67.6,5.0,7.0,26.0,5.0,13.2,5.0,5.0,0.0,0.0,38.0,1.0,8.0,1.0,67.7,0.3,-5.3,-0.14,189.0,499.0,37.9,1034.0,170.0,38.0,35.4,162.0,65.4,52.1,328.0,39.0,11.9,39.0,1.03,15.6,417.0,121.0,39.0,29.0,10.97,3.18,0.04,0.15,0.08,-14.0,-13.9,15166.0,19085.0,79.5,285286.0,97820.0,6557.0,7629.0,85.9,6486.0,7627.0,85.0,1951.0,3379.0,57.7,-8.6,291.0,1034.0,266.0,69.0,1166.0,17665.0,1420.0,421.0,13.0,3193.0,485.0,413.0,158.0,0.0,0.0,0.0,13504.0,1914.0,3667.0,4459.0,12589.0,940.0,601.0,257.0,73.0,425.0,402.0,417.0,668.0,17.58,477.0,53.0,39.0,25.0,60.0,39.0,1.03,24.0,1.0,5.0,4.0,3.0,2.0,540.0,373.0,287.0,198.0,55.0,182.0,592.0,30.7,410.0,5557.0,1496.0,26.9,1773.0,2575.0,1209.0,551.0,116.0,3.0,435.0,324.0,450.0,9.0,23070.0,2347.0,7666.0,11516.0,5464.0,720.0,21693.0,422.0,611.0,69.1,451.0,18.0,16708.0,85710.0,43341.0,1615.0,544.0,114.0,17248.0,15166.0,87.9,501.0,454.0,1.0,490.0,677.0,81.0,5.0,3.0,1.0,3319.0,272.0,308.0,46.9
Leganés,28.0,42.5,38.0,418.0,3420.0,32.0,23.0,2.0,3.0,102.0,5.0,0.84,0.61,1.45,0.79,1.39,40.0,37.7,28.2,1.05,0.74,1.8,0.99,1.74,38.0,38.0,3420.0,51.0,1.34,161.0,116.0,72.0,12.0,7.0,19.0,14.0,36.8,7.0,6.0,1.0,0.0,38.0,4.0,5.0,0.0,46.7,0.26,-4.3,-0.11,294.0,846.0,34.8,787.0,69.0,80.1,55.2,219.0,98.6,69.6,333.0,32.0,9.6,29.0,0.76,15.6,408.0,136.0,14.0,33.3,10.74,3.58,0.07,0.22,0.1,-8.0,-7.7,10185.0,14621.0,69.7,205502.0,83983.0,4261.0,5354.0,79.6,4138.0,5326.0,77.7,1677.0,3553.0,47.2,-5.2,289.0,894.0,203.0,80.0,974.0,13025.0,1596.0,472.0,11.0,2537.0,458.0,476.0,148.0,0.0,0.0,0.0,8208.0,1771.0,4642.0,5279.0,6785.0,1273.0,688.0,155.0,77.0,459.0,274.0,454.0,629.0,16.55,403.0,74.0,41.0,36.0,54.0,55.0,1.45,34.0,6.0,5.0,7.0,3.0,0.0,627.0,420.0,304.0,264.0,59.0,218.0,631.0,34.5,413.0,6674.0,1833.0,27.5,1984.0,3250.0,1440.0,563.0,91.0,2.0,472.0,470.0,477.0,8.0,18694.0,1933.0,6381.0,8663.0,4720.0,648.0,17136.0,374.0,585.0,63.9,406.0,22.0,11703.0,58876.0,27589.0,1063.0,365.0,98.0,12570.0,10185.0,81.0,462.0,418.0,3.0,596.0,510.0,103.0,2.0,7.0,0.0,3797.0,397.0,372.0,51.6
Levante,33.0,42.5,38.0,418.0,3420.0,43.0,28.0,5.0,5.0,108.0,6.0,1.13,0.74,1.87,1.0,1.74,42.4,38.6,29.0,1.12,0.76,1.88,1.02,1.78,38.0,38.0,3420.0,58.0,1.53,178.0,128.0,70.2,11.0,13.0,14.0,10.0,26.3,6.0,5.0,0.0,1.0,38.0,1.0,8.0,3.0,61.2,0.33,6.2,0.16,248.0,621.0,39.9,590.0,73.0,69.0,49.9,227.0,94.3,64.1,412.0,44.0,10.7,25.0,0.66,14.1,422.0,120.0,27.0,28.4,11.11,3.16,0.09,0.32,0.09,0.6,-0.6,10471.0,14379.0,72.8,212600.0,85930.0,4202.0,5200.0,80.8,4451.0,5559.0,80.1,1725.0,3274.0,52.7,-1.0,302.0,948.0,304.0,93.0,1119.0,12849.0,1530.0,387.0,13.0,2810.0,419.0,455.0,170.0,0.0,2.0,1.0,8827.0,1647.0,3905.0,3366.0,8941.0,936.0,675.0,146.0,63.0,454.0,273.0,450.0,670.0,17.63,470.0,51.0,57.0,31.0,45.0,76.0,2.0,50.0,4.0,8.0,3.0,10.0,1.0,497.0,345.0,271.0,178.0,48.0,154.0,525.0,29.3,371.0,6613.0,1539.0,23.3,2299.0,3047.0,1267.0,601.0,137.0,5.0,464.0,381.0,585.0,9.0,18404.0,2145.0,6257.0,8258.0,5090.0,762.0,16894.0,363.0,581.0,62.5,391.0,15.0,11824.0,63409.0,33880.0,1309.0,451.0,132.0,12684.0,10471.0,82.6,487.0,433.0,3.0,556.0,449.0,71.0,5.0,3.0,3.0,3219.0,270.0,330.0,45.0
