player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yunis Abdelhamid,ma MAR,DF,Reims,34-098,1987,18.0,18.0,1620.0,1.0,0.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,1.0,1.0,0.2,0.05,0.01,0.06,0.05,0.06,18.0,14.0,4.0,0.0,28.6,0.78,0.22,0.07,0.25,0.07,0.0,0.0,661.0,805.0,82.1,14405.0,4826.0,177.0,200.0,88.5,378.0,425.0,88.9,103.0,159.0,64.8,-0.2,4.0,29.0,3.0,0.0,37.0,747.0,58.0,50.0,0.0,89.0,33.0,1.0,0.0,0.0,0.0,0.0,598.0,66.0,141.0,529.0,219.0,26.0,8.0,2.0,0.0,17.0,21.0,17.0,10.0,0.56,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,23.0,9.0,1.0,9.0,13.0,69.2,4.0,238.0,92.0,38.7,143.0,86.0,9.0,34.0,15.0,1.0,19.0,62.0,62.0,0.0,1002.0,139.0,583.0,436.0,52.0,22.0,949.0,11.0,16.0,68.8,11.0,1.0,626.0,3504.0,1861.0,42.0,9.0,0.0,629.0,614.0,97.6,6.0,6.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0,126.0,38.0,28.0,57.6
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-284,2000,17.0,16.0,1415.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.02,0.05,0.07,0.02,0.07,15.7,6.0,2.0,0.0,33.3,0.38,0.13,0.0,0.0,0.06,-0.4,-0.4,1003.0,1077.0,93.1,19181.0,3293.0,372.0,394.0,94.4,490.0,511.0,95.9,131.0,153.0,85.6,-0.8,7.0,42.0,5.0,0.0,40.0,1063.0,14.0,12.0,0.0,128.0,14.0,4.0,0.0,0.0,0.0,0.0,945.0,75.0,57.0,79.0,953.0,27.0,1.0,6.0,3.0,10.0,18.0,10.0,16.0,1.02,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,20.0,17.0,2.0,11.0,37.0,29.7,26.0,328.0,103.0,31.4,114.0,178.0,36.0,18.0,1.0,0.0,17.0,29.0,11.0,0.0,1220.0,48.0,436.0,718.0,143.0,7.0,1208.0,13.0,17.0,76.5,14.0,1.0,944.0,4393.0,1821.0,43.0,8.0,3.0,1013.0,956.0,94.4,6.0,22.0,1.0,28.0,22.0,0.0,0.0,0.0,0.0,125.0,12.0,14.0,46.2
Laurent Abergel,fr FRA,MF,Lorient,28-337,1993,18.0,18.0,1587.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,1.6,1.6,1.7,0.09,0.09,0.18,0.09,0.18,17.6,16.0,4.0,0.0,25.0,0.91,0.23,0.0,0.0,0.1,-1.6,-1.6,675.0,836.0,80.7,13161.0,3436.0,272.0,305.0,89.2,289.0,330.0,87.6,106.0,159.0,66.7,-0.7,12.0,62.0,9.0,4.0,63.0,825.0,11.0,8.0,3.0,173.0,26.0,10.0,0.0,0.0,0.0,0.0,634.0,92.0,110.0,77.0,742.0,9.0,2.0,0.0,4.0,11.0,26.0,37.0,28.0,1.59,20.0,1.0,0.0,0.0,4.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,58.0,32.0,28.0,25.0,5.0,30.0,84.0,35.7,54.0,456.0,137.0,30.0,169.0,240.0,47.0,24.0,1.0,0.0,23.0,42.0,6.0,0.0,1033.0,15.0,249.0,677.0,180.0,8.0,1025.0,28.0,41.0,68.3,29.0,3.0,782.0,3132.0,1597.0,55.0,16.0,2.0,768.0,720.0,93.8,13.0,27.0,0.0,24.0,36.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,46.2
Charles Abi,fr FRA,FW,Saint-Étienne,21-267,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Matthis Abline,fr FRA,FW,Rennes,18-282,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.32,0.3,0.32,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.17,-0.3,-0.3,8.0,10.0,80.0,100.0,22.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,15.4,4.0,14.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,2.0,11.0,12.0,3.0,25.0,1.0,2.0,50.0,1.0,0.0,18.0,68.0,35.0,3.0,0.0,0.0,39.0,13.0,33.3,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Martin Adeline,fr FRA,FW,Reims,18-033,2003,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,91.0,17.0,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,9.1,6.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,12.0,2.0,5.0,4.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,6.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21-159,2000,19.0,15.0,1303.0,1.0,6.0,0.0,0.0,2.0,0.0,0.07,0.41,0.48,0.07,0.48,1.3,1.3,3.8,0.09,0.27,0.36,0.09,0.36,14.5,17.0,8.0,4.0,47.1,1.17,0.55,0.06,0.13,0.08,-0.3,-0.3,543.0,724.0,75.0,11410.0,3382.0,219.0,252.0,86.9,207.0,251.0,82.5,110.0,199.0,55.3,2.2,37.0,67.0,17.0,3.0,82.0,645.0,79.0,29.0,1.0,111.0,58.0,21.0,40.0,25.0,5.0,1.0,482.0,78.0,164.0,87.0,607.0,11.0,8.0,3.0,5.0,19.0,27.0,20.0,66.0,4.56,45.0,12.0,1.0,1.0,6.0,11.0,0.76,10.0,0.0,0.0,0.0,1.0,0.0,20.0,16.0,9.0,8.0,3.0,5.0,29.0,17.2,24.0,296.0,86.0,29.1,65.0,154.0,77.0,17.0,3.0,0.0,14.0,28.0,9.0,0.0,901.0,15.0,139.0,521.0,303.0,26.0,825.0,27.0,51.0,52.9,30.0,3.0,658.0,3555.0,1761.0,75.0,26.0,4.0,755.0,647.0,85.7,24.0,40.0,0.0,10.0,23.0,4.0,0.0,0.0,0.0,87.0,10.0,14.0,41.7
Lucien Agoume,fr FRA,MF,Brest,19-329,2002,13.0,10.0,888.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.06,0.02,0.09,0.06,0.09,9.9,7.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.09,-0.6,-0.6,386.0,441.0,87.5,7360.0,1826.0,153.0,171.0,89.5,160.0,176.0,90.9,63.0,75.0,84.0,-0.2,7.0,22.0,7.0,0.0,34.0,430.0,11.0,9.0,0.0,74.0,16.0,2.0,1.0,0.0,0.0,1.0,329.0,54.0,58.0,49.0,360.0,19.0,0.0,3.0,0.0,4.0,9.0,9.0,15.0,1.52,11.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,16.0,14.0,4.0,9.0,15.0,60.0,6.0,178.0,54.0,30.3,64.0,85.0,29.0,18.0,7.0,0.0,11.0,28.0,16.0,0.0,554.0,30.0,184.0,291.0,105.0,15.0,544.0,13.0,19.0,68.4,14.0,3.0,371.0,1733.0,940.0,28.0,6.0,1.0,373.0,352.0,94.4,4.0,14.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,83.0,11.0,13.0,45.8
Nayef Aguerd,ma MAR,DF,Rennes,25-280,1996,18.0,18.0,1610.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.06,0.17,0.11,0.17,1.4,1.4,0.2,0.08,0.01,0.09,0.08,0.09,17.9,17.0,5.0,0.0,29.4,0.95,0.28,0.12,0.4,0.08,0.6,0.6,1183.0,1300.0,91.0,26656.0,8900.0,291.0,308.0,94.5,630.0,656.0,96.0,254.0,323.0,78.6,0.8,1.0,66.0,2.0,0.0,51.0,1263.0,37.0,32.0,1.0,92.0,51.0,2.0,0.0,0.0,0.0,0.0,1094.0,59.0,147.0,1113.0,114.0,38.0,5.0,2.0,1.0,15.0,22.0,7.0,6.0,0.34,5.0,0.0,0.0,1.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,11.0,5.0,0.0,3.0,10.0,30.0,7.0,101.0,37.0,36.6,55.0,42.0,4.0,19.0,10.0,0.0,9.0,27.0,94.0,1.0,1481.0,175.0,762.0,776.0,40.0,23.0,1446.0,3.0,4.0,75.0,3.0,0.0,1050.0,5295.0,2853.0,43.0,3.0,0.0,1142.0,1123.0,98.3,3.0,4.0,0.0,9.0,7.0,1.0,0.0,1.0,0.0,139.0,69.0,21.0,76.7
Ruben Aguilar,fr FRA,DF,Monaco,28-253,1993,14.0,10.0,998.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.03,0.03,0.0,0.03,11.1,2.0,1.0,0.0,50.0,0.18,0.09,0.0,0.0,0.03,-0.1,-0.1,781.0,900.0,86.8,14097.0,4743.0,345.0,375.0,92.0,363.0,401.0,90.5,66.0,106.0,62.3,-0.3,5.0,66.0,14.0,3.0,70.0,742.0,158.0,17.0,0.0,78.0,16.0,21.0,1.0,0.0,1.0,0.0,587.0,196.0,117.0,13.0,710.0,21.0,140.0,7.0,3.0,12.0,27.0,15.0,10.0,0.9,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0,22.0,19.0,7.0,26.0,41.0,63.4,15.0,194.0,71.0,36.6,91.0,78.0,25.0,16.0,1.0,0.0,15.0,28.0,35.0,0.0,1044.0,35.0,268.0,591.0,243.0,12.0,892.0,5.0,8.0,62.5,6.0,0.0,619.0,2809.0,1750.0,80.0,21.0,2.0,675.0,637.0,94.4,6.0,6.0,0.0,15.0,17.0,1.0,0.0,0.0,1.0,106.0,17.0,14.0,54.8
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27-290,1994,11.0,5.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.02,0.09,0.11,0.02,0.11,4.7,4.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.02,-0.1,-0.1,166.0,192.0,86.5,2871.0,385.0,65.0,69.0,94.2,76.0,84.0,90.5,19.0,31.0,61.3,-0.4,2.0,6.0,1.0,0.0,9.0,184.0,8.0,8.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,160.0,18.0,14.0,142.0,44.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,4.0,7.0,57.1,3.0,88.0,15.0,17.0,33.0,49.0,6.0,4.0,1.0,0.0,3.0,11.0,10.0,0.0,242.0,10.0,61.0,174.0,21.0,0.0,235.0,2.0,7.0,28.6,3.0,1.0,162.0,770.0,357.0,15.0,4.0,0.0,170.0,157.0,92.4,5.0,5.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,42.0,4.0,2.0,66.7
Ludovic Ajorque,re REU,FW,Strasbourg,27-313,1994,17.0,16.0,1339.0,9.0,5.0,2.0,2.0,4.0,1.0,0.6,0.34,0.94,0.47,0.81,6.3,4.8,1.6,0.42,0.11,0.53,0.32,0.43,14.9,31.0,16.0,0.0,51.6,2.08,1.08,0.23,0.44,0.16,2.7,2.2,346.0,470.0,73.6,5245.0,750.0,194.0,238.0,81.5,98.0,138.0,71.0,30.0,45.0,66.7,3.4,15.0,17.0,12.0,2.0,26.0,461.0,9.0,0.0,1.0,134.0,10.0,9.0,0.0,0.0,0.0,0.0,259.0,135.0,76.0,277.0,90.0,31.0,1.0,13.0,0.0,8.0,27.0,19.0,37.0,2.49,25.0,0.0,2.0,5.0,4.0,5.0,0.34,2.0,0.0,0.0,2.0,1.0,0.0,24.0,13.0,3.0,8.0,13.0,4.0,17.0,23.5,13.0,250.0,61.0,24.4,32.0,115.0,103.0,15.0,5.0,0.0,10.0,7.0,14.0,0.0,645.0,17.0,57.0,346.0,266.0,70.0,634.0,11.0,15.0,73.3,11.0,0.0,340.0,1216.0,527.0,31.0,10.0,4.0,777.0,495.0,63.7,43.0,17.0,0.0,21.0,19.0,4.0,1.0,0.0,1.0,63.0,71.0,47.0,60.2
Maghnes Akliouche,fr FRA,MF,Monaco,19-313,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane Alakouch,ma MAR,"DF,MF",Metz,23-159,1998,4.0,0.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1.8,1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.03,0.0,0.0,85.0,103.0,82.5,1283.0,378.0,49.0,52.0,94.2,32.0,38.0,84.2,2.0,5.0,40.0,0.0,1.0,5.0,0.0,0.0,4.0,90.0,13.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,78.0,16.0,9.0,6.0,83.0,1.0,12.0,0.0,0.0,0.0,4.0,6.0,1.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,4.0,0.0,3.0,6.0,50.0,3.0,52.0,12.0,23.1,21.0,24.0,7.0,6.0,0.0,0.0,6.0,6.0,2.0,0.0,136.0,8.0,39.0,73.0,31.0,0.0,126.0,2.0,5.0,40.0,2.0,1.0,88.0,299.0,175.0,8.0,5.0,0.0,92.0,84.0,91.3,3.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,50.0
Mohamed Ali Cho,fr FRA,FW,Angers,17-350,2004,18.0,14.0,1162.0,2.0,0.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,4.6,4.6,1.1,0.35,0.08,0.44,0.35,0.44,12.9,28.0,10.0,0.0,35.7,2.17,0.77,0.07,0.2,0.17,-2.6,-2.6,125.0,170.0,73.5,1685.0,331.0,79.0,95.0,83.2,33.0,46.0,71.7,4.0,12.0,33.3,-1.1,7.0,7.0,6.0,2.0,10.0,165.0,5.0,1.0,0.0,43.0,6.0,16.0,0.0,0.0,0.0,0.0,124.0,30.0,16.0,111.0,43.0,5.0,1.0,6.0,1.0,7.0,8.0,4.0,27.0,2.09,14.0,0.0,4.0,2.0,5.0,5.0,0.39,3.0,0.0,0.0,2.0,0.0,0.0,9.0,6.0,2.0,3.0,4.0,1.0,6.0,16.7,5.0,278.0,63.0,22.7,14.0,122.0,142.0,10.0,0.0,0.0,10.0,8.0,0.0,0.0,352.0,1.0,21.0,165.0,202.0,54.0,348.0,18.0,39.0,46.2,19.0,2.0,258.0,1505.0,1002.0,51.0,16.0,10.0,495.0,255.0,51.5,41.0,35.0,0.0,20.0,31.0,10.0,0.0,0.0,0.0,51.0,7.0,43.0,14.0
Jim Allevinah,ga GAB,FW,Clermont Foot,26-311,1995,16.0,10.0,892.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,1.6,1.6,0.9,0.16,0.09,0.25,0.16,0.25,9.9,22.0,10.0,1.0,45.5,2.22,1.01,0.0,0.0,0.07,-1.6,-1.6,232.0,301.0,77.1,3705.0,687.0,132.0,157.0,84.1,74.0,95.0,77.9,19.0,33.0,57.6,0.1,11.0,17.0,8.0,3.0,20.0,288.0,13.0,3.0,0.0,75.0,14.0,17.0,7.0,4.0,1.0,0.0,226.0,37.0,38.0,58.0,220.0,16.0,3.0,1.0,2.0,4.0,10.0,14.0,31.0,3.13,20.0,1.0,5.0,1.0,2.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,4.0,6.0,4.0,4.0,13.0,30.8,9.0,118.0,28.0,23.7,35.0,46.0,37.0,6.0,2.0,0.0,4.0,8.0,1.0,0.0,444.0,5.0,81.0,210.0,205.0,44.0,432.0,20.0,36.0,55.6,22.0,3.0,381.0,2880.0,1787.0,87.0,29.0,11.0,436.0,339.0,77.8,23.0,33.0,0.0,12.0,28.0,1.0,0.0,0.0,0.0,50.0,7.0,15.0,31.8
Jordan Amavi,fr FRA,DF,Marseille,27-301,1994,2.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.07,0.0,0.07,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,88.0,86.4,1404.0,379.0,34.0,38.0,89.5,33.0,36.0,91.7,9.0,12.0,75.0,-0.1,1.0,6.0,2.0,1.0,7.0,71.0,17.0,2.0,1.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,60.0,19.0,9.0,53.0,17.0,0.0,15.0,0.0,0.0,2.0,6.0,2.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0,1.0,5.0,9.0,55.6,4.0,13.0,2.0,15.4,6.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,104.0,3.0,25.0,70.0,17.0,1.0,87.0,0.0,3.0,0.0,0.0,0.0,67.0,323.0,178.0,10.0,3.0,0.0,81.0,73.0,90.1,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0
Benjamin André,fr FRA,MF,Lille,31-154,1990,18.0,18.0,1551.0,2.0,1.0,0.0,0.0,5.0,0.0,0.12,0.06,0.17,0.12,0.17,0.6,0.6,0.9,0.04,0.06,0.09,0.04,0.09,17.2,9.0,2.0,0.0,22.2,0.52,0.12,0.22,1.0,0.07,1.4,1.4,810.0,999.0,81.1,14720.0,3980.0,364.0,422.0,86.3,307.0,367.0,83.7,106.0,153.0,69.3,0.1,7.0,81.0,11.0,1.0,81.0,969.0,30.0,24.0,2.0,203.0,32.0,6.0,0.0,0.0,0.0,0.0,683.0,162.0,154.0,130.0,758.0,49.0,5.0,7.0,3.0,13.0,48.0,20.0,19.0,1.1,17.0,0.0,1.0,0.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,63.0,38.0,19.0,39.0,5.0,14.0,50.0,28.0,36.0,387.0,121.0,31.3,130.0,214.0,43.0,45.0,8.0,0.0,37.0,53.0,38.0,0.0,1234.0,67.0,334.0,788.0,177.0,15.0,1208.0,10.0,13.0,76.9,10.0,0.0,689.0,3488.0,1782.0,70.0,17.0,0.0,855.0,776.0,90.8,24.0,15.0,0.0,43.0,38.0,1.0,0.0,1.0,0.0,202.0,69.0,39.0,63.9
Houssem Aouar,fr FRA,"MF,FW",Lyon,23-188,1998,18.0,17.0,1449.0,3.0,2.0,0.0,0.0,0.0,0.0,0.19,0.12,0.31,0.19,0.31,4.5,4.5,3.0,0.28,0.19,0.46,0.28,0.46,16.1,42.0,16.0,0.0,38.1,2.61,0.99,0.07,0.19,0.11,-1.5,-1.5,652.0,749.0,87.0,9997.0,2566.0,379.0,412.0,92.0,201.0,224.0,89.7,49.0,71.0,69.0,-1.0,17.0,69.0,18.0,1.0,65.0,724.0,25.0,11.0,5.0,108.0,10.0,5.0,2.0,0.0,1.0,1.0,622.0,82.0,45.0,80.0,645.0,5.0,6.0,8.0,1.0,6.0,29.0,17.0,48.0,2.98,35.0,0.0,4.0,5.0,3.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,8.0,13.0,6.0,10.0,25.0,40.0,15.0,275.0,69.0,25.1,49.0,118.0,108.0,14.0,1.0,0.0,13.0,18.0,3.0,0.0,983.0,7.0,112.0,546.0,413.0,71.0,964.0,46.0,78.0,59.0,48.0,2.0,770.0,3741.0,2276.0,117.0,39.0,11.0,961.0,768.0,79.9,44.0,38.0,0.0,16.0,30.0,1.0,0.0,0.0,0.0,110.0,7.0,17.0,29.2
Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19-173,2002,17.0,6.0,548.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,0.6,0.6,0.2,0.09,0.04,0.13,0.09,0.13,6.1,11.0,5.0,0.0,45.5,1.81,0.82,0.0,0.0,0.05,-0.6,-0.6,250.0,330.0,75.8,4642.0,1025.0,123.0,144.0,85.4,73.0,90.0,81.1,41.0,72.0,56.9,0.8,5.0,27.0,2.0,0.0,20.0,294.0,36.0,11.0,0.0,63.0,26.0,10.0,21.0,8.0,7.0,1.0,239.0,24.0,67.0,47.0,261.0,9.0,2.0,3.0,0.0,9.0,16.0,6.0,18.0,2.96,9.0,3.0,2.0,0.0,4.0,2.0,0.33,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,3.0,2.0,11.0,18.2,9.0,141.0,40.0,28.4,29.0,77.0,35.0,10.0,0.0,0.0,10.0,9.0,4.0,0.0,426.0,3.0,61.0,254.0,154.0,16.0,391.0,11.0,19.0,57.9,11.0,1.0,290.0,1614.0,1065.0,54.0,20.0,4.0,363.0,304.0,83.7,18.0,15.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,42.0,9.0,8.0,52.9
